GAME
{
// PDA belongs to Dr. Ian Cook

// Sent

"MailFrom3"	"收件人：新特医院员工"
"MailDate3"	"日期：2246年03月16日"
"MailSubject3"	"主题：我们需要一个新计划"
"MailBody3A"	"总得有人想出一个更长久的解决办法。我们不能把实验体永远锁在地下室里……"

"MailFrom4"	"收件人：新特医院员工"
"MailDate4"	"日期：2246年03月17日"
"MailSubject4"	"主题：我找到了一个方法"
"MailBody4A"	"我们差不多准备好离开了。希望我还有足够的时间出去。我已经把我需要的所有设备都搬了，所以其他人就尽量把它们搬到运输工具上吧。"
"MailBody4B"	"但这一切都不再重要了；重要的是阻止这些实验体的传播。我准备了一种水溶性神经毒素，我打算把它灌满整个设施。我已经测试过了，它被证明是非常有效的。"
"MailBody4C"	"我要在大楼西北角附近的泵房里部署神经毒素。我要用水淹没整栋大楼，所以大家最好离开那里。"
"MailBody4D"	"压缩机基本准备好了。我要做的就是打开这些门，然后去那栋楼。"
}
