GAME
{
	// Inbox

	"MailFrom1"	"От: МВС ньюс"
	"MailDate1"	"Дата: 3 января 2233"
	"MailSubject1"	"Тема: Журнал новостей за последний месяц."
	"MailBody1A"	"3 декабря, 2232 - В настоящее время разворачивается план по охлаждению скалы. Ожидается, что система охлаждения будет построена за 3-4 дня."
	"MailBody1B"	"5 декабря, 2232 - Катастрофа! Мёртвые тела шахтёров и исследователей ожили и превратились в некий инопланетный вид. Около 40 из них напали на соединительное звено ДЖ-7 и, по сообщениям, убили более 300 человек. Инженеры и солдаты, выполняющие план по охлаждению, разбежались."
	"MailBody1C"	"6 декабря, 2232 - Инопланетяне напали на лабораторию и выставили её напоказ внешнему миру. Радиация из скалы вырывается наружу. Катастрофе присвоена угроза 8-го уровня МНЭС. Солдаты уничтожают пришельцев на границах объекта."
	"MailBody1D"	"7 декабря, 2232 - Радиация от скалы достигает районов радиусом более ста километров от очага. Большинство людей было эвакуировано, однако радиация продолжает расти и может иметь глобальные последствия."
	"MailBody1E"	"8 декабря, 2232 - Планируется, что 9 декабря на объект будет сброшено десять тысяч тонн воды с самолётов для охлаждения породы."
	"MailBody1F"	"9 декабря, 2232 - Утром сильный взрыв был слышен за тысячу километров. Лаборатории официально объявлены АДОМ. Радиация превращает любого человека в пятистах километрах от лабораторий в инопланетянина со смертоносными когтями. Пришельцы перехватили план сброса воды на объект. Возникает глобальная паника, и все правительства мира приходят в состояние военной готовности."
	"MailBody1G"	"20 декабря, 2232 - Уровень радиации радикально снизился, так как порода практически распалась. Зона радиусом 1 600 километров от лабораторий всё ещё считается опасной, так как там много пришельцев."
	"MailBody1H"	"3 января, 2233 - 8 самых опытных солдат в мире были отобраны для того, чтобы совершить нападение на лабораторию и вернуть себе соединительное звено ДЖ-7. Их путешествие начнётся на поезде из Монголии, самой активной границы борьбы с пришельцами."
	"MailBody1I"	"МВС ньюс - 03 января 2233"
}
