GAME
{
// PDA belongs to Dr. Lin Da Silva

// Inbox

"MailFrom1"	"发件人：雅克.莫罗博士"
"MailDate1"	"日期：2242年2月10日"
"MailSubject1"	"主题：回复：科研人员调动"
"MailBody1A"	"达·席尔瓦博士，我的研究要求我，要保持接近外科手术般的精确度。在此基础上，需要非常合适的，恰当的聚精会神。“适当”指的是不会被琐碎的事情，不断地打断。"
"MailBody1B"	"虽然我非常感谢你们的助手们迄今为止提供的巨大援助，但如果大家最终同意让我继续工作，那么正在进行的工作——由于我是这次任务的首席科学家，所以由我负责——将很快结束。"
"MailBody1C"	"谢谢"

// Sent

"MailFrom3"	"收件人：雅克.莫罗博士"
"MailDate3"	"日期：2242年2月9日"
"MailSubject3"	"主题：科研人员调动"
"MailBody3A"	"莫罗博士，"
"MailBody3B"	"应您的要求，我已将生物小组的工作转移到一般研究上；我们最新发现的实验对象，也被转移到了你们的私人实验室。但是，我可以问你这个决定背后的理由吗？"
"MailBody3C"	"谨启，"
"MailBody3D"	"林.达.席尔瓦博士"

"MailFrom4"	"收件人：雅克.莫罗博士"
"MailDate4"	"日期：2242年2月10日"
"MailSubject4"	"主题：回复：回复：科研人员调动"
"MailBody4A"	"莫罗博士，"
"MailBody4B"	"当然，我理解。质疑你的方法不是我的本意。额外的题目会在本周末之前发给你。生而为人。"
"MailBody4C"	"谨启，"
"MailBody4D"	"林.达.席尔瓦博士"
}
